[2025-06-19T01:27:07Z] -----	 Migration started at 2025-06-19T01:27:07Z for VM alm-smartm-vm.alm.mentorg.com -----
[2025-06-19T01:27:07Z] Running in pod
[2025-06-19T01:27:10Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:11Z] Connected to OpenStack
[2025-06-19T01:27:12Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:12Z] Creating volumes in OpenStack
[2025-06-19T02:43:32Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:33Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:35Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:37Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:39Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:41Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:43Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:45Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:47Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:49Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:51Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:52Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:54Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:56Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:58Z] Copying disk 0, Completed: 16%
[2025-06-19T02:44:00Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:22Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:23Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:25Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:27Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:29Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:30Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:32Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:34Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:36Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:38Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:40Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:41Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:43Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:45Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:47Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:49Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:51Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:53Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:54Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:56Z] Copying disk 0, Completed: 17%
[2025-06-19T02:44:58Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:00Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:02Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:23Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:25Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:27Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:29Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:30Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:32Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:34Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:36Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:38Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:40Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:41Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:43Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:45Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:47Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:49Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:50Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:52Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:54Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:56Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:57Z] Copying disk 0, Completed: 17%
[2025-06-19T02:45:59Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:01Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:03Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:05Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:07Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:08Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:10Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:12Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:14Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:16Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:17Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:19Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:21Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:23Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:24Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:47Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:49Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:50Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:52Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:54Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:55Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:57Z] Copying disk 0, Completed: 17%
[2025-06-19T02:46:59Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:01Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:03Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:05Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:07Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:08Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:10Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:12Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:14Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:16Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:18Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:19Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:21Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:23Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:25Z] Copying disk 0, Completed: 17%
[2025-06-19T02:47:26Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:11Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:12Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:14Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:16Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:18Z] Copying disk 0, Completed: 17%
[2025-06-19T02:48:19Z] Copying disk 0, Completed: 17%
