[2025-06-19T01:27:13Z] -----	 Migration started at 2025-06-19T01:27:13Z for VM bd78.alm.mentorg.com -----
[2025-06-19T01:27:13Z] Running in pod
[2025-06-19T01:27:17Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:18Z] Connected to OpenStack
[2025-06-19T01:27:19Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:19Z] Creating volumes in OpenStack
[2025-06-19T02:44:42Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:43Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:44Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:45Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:46Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:48Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:48Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:49Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:50Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:51Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:52Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:53Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:54Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:55Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:56Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:57Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:58Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:59Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:00Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:01Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:23Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:24Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:25Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:26Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:27Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:28Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:29Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:30Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:31Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:32Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:33Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:34Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:35Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:36Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:37Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:38Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:39Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:40Z] Copying disk 1, Completed: 6%
[2025-06-19T02:45:41Z] Copying disk 1, Completed: 6%
