[2025-06-19T01:27:20Z] -----	 Migration started at 2025-06-19T01:27:20Z for VM ftpeps.alm.mentorg.com -----
[2025-06-19T01:27:20Z] Running in pod
[2025-06-19T01:27:22Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:24Z] Connected to OpenStack
[2025-06-19T01:27:24Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:24Z] Creating volumes in OpenStack
[2025-06-19T02:49:49Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:51Z] Copying disk 1, Completed: 30%
[2025-06-19T02:50:16Z] Copying disk 1, Completed: 30%
[2025-06-19T02:50:17Z] Copying disk 1, Completed: 30%
[2025-06-19T02:50:19Z] Copying disk 1, Completed: 30%
[2025-06-19T02:50:21Z] Copying disk 1, Completed: 30%
[2025-06-19T02:50:23Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:25Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:27Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:29Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:31Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:32Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:34Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:57Z] Copying disk 1, Completed: 31%
[2025-06-19T02:50:59Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:01Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:02Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:04Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:06Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:08Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:10Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:11Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:13Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:15Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:17Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:19Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:21Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:23Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:25Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:27Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:28Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:30Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:32Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:34Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:36Z] Copying disk 1, Completed: 31%
[2025-06-19T02:51:58Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:00Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:02Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:04Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:05Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:07Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:09Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:11Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:13Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:15Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:17Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:18Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:20Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:22Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:24Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:26Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:28Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:30Z] Copying disk 1, Completed: 31%
[2025-06-19T02:52:32Z] Copying disk 1, Completed: 31%
